あおき,東京都あきる野市伊奈444-1
セブンイレブン羽村川崎1丁目店,東京都羽村市川崎1－8－12
ファミリーマート羽村川崎店,東京都羽村市川崎2-7
Ｙショップ榎本,東京都羽村市双葉町2-4-1
サンクス羽村双葉町店,東京都羽村市双葉町3丁目9-34
ファミリーマート羽村富士見平店,東京都羽村市富士見平2丁目21-1
スリーエイト羽村店,東京都羽村市緑ケ丘1-5-12
サンクスお花茶屋店,東京都葛飾区お花茶屋1丁目19
セブンイレブン葛飾お花茶屋店,東京都葛飾区お花茶屋2-4-18
（有）伊藤酒店,東京都葛飾区お花茶屋2-5-14
マインマートお花茶屋店,東京都葛飾区お花茶屋2-5-14
サンクスお花茶屋2丁目店,東京都葛飾区お花茶屋2丁目3-3
デイリーヤマザキ奥戸本町店,東京都葛飾区奥戸1-28-7
よろづや酒店,東京都葛飾区奥戸2-14-30
サンクス葛飾奥戸店,東京都葛飾区奥戸2丁目14-30
セブンイレブン葛飾奥戸3丁目店,東京都葛飾区奥戸3－8－2
ローソン奥戸四丁目店,東京都葛飾区奥戸4-23-26
ファミリーマート奥戸五丁目店,東京都葛飾区奥戸5-1-1
セブンイレブン葛飾奥戸5丁目店,東京都葛飾区奥戸5丁目3－2
サンクス葛飾鎌倉店,東京都葛飾区鎌倉1丁目23-11
ローソン新柴又店,東京都葛飾区鎌倉3-28-1
セブンイレブン亀有曳船橋店,東京都葛飾区亀有1-14-5
セブンイレブン葛飾亀有2丁目店,東京都葛飾区亀有2ー34ー5
（有）田中米作商店,東京都葛飾区亀有2-26-17
セブンイレブン葛飾亀有3丁目店,東京都葛飾区亀有3ー27ー31
ファミリーマート亀有駅東店,東京都葛飾区亀有3-43-4
ファミリーマート亀有三丁目店,東京都葛飾区亀有3-9-7
セブンイレブン亀有4丁目都営アパ－ト前店,東京都葛飾区亀有4－27－1
セブンイレブン亀有4丁目店,東京都葛飾区亀有4－37－12
ファミリーマート亀有四丁目店,東京都葛飾区亀有4-4-11
ファミリーマート亀有五丁目店,東京都葛飾区亀有5-12-12 振興ビル1Ｆ
サンクス亀有北口店,東京都葛飾区亀有5ー45ー1
セブンイレブン金町店,東京都葛飾区金町3-21-13
ファミリーマート吉川金町店,東京都葛飾区金町5-29-24
エーエムピーエム京成金町駅店,東京都葛飾区金町5-37-9
ファミリーマート金町駅前店,東京都葛飾区金町6-4-1
サンクス金町南口店,東京都葛飾区金町6丁目4-2 ラヴィクレール1-1
セブンイレブン葛飾高砂2丁目店,東京都葛飾区高砂2ー18ー19
ミニストップ高砂３丁目店,東京都葛飾区高砂3-12-1
ファリコあきたや,東京都葛飾区高砂3-2-20
ローソン高砂四丁目店,東京都葛飾区高砂4-2-26
エーエムピーエム京成高砂駅店,東京都葛飾区高砂5-28-1
セブンイレブン葛飾高砂駅前店,東京都葛飾区高砂5-42-2
ファミリーマート高砂五丁目店,東京都葛飾区高砂5丁目37-9
セブンイレブン葛飾高砂7丁目店,東京都葛飾区高砂7丁目20番16号
サンクス葛飾細田店,東京都葛飾区細田1-16-9
セブンイレブン高砂店,東京都葛飾区細田4-15-7
セブンイレブン葛飾四つ木1丁目店,東京都葛飾区四つ木1－28－5
エーエムピーエム四つ木1丁目店,東京都葛飾区四つ木1－29－16
セブンイレブン四ツ木店,東京都葛飾区四ツ木4－5－10
デーリーヤマザキ柴又店,東京都葛飾区柴又1-10-3
ファミリーマート星野柴又一丁目店,東京都葛飾区柴又1-3-1
セブンイレブン柴又店,東京都葛飾区柴又2-22-19
セブンイレブン柴又駅前店,東京都葛飾区柴又4-11-10
セブンイレブン葛飾柴又4丁目店,東京都葛飾区柴又4ー36ー10
セブンイレブン葛飾小菅2丁目店,東京都葛飾区小菅2－21－12
コミュニティ・ストア小菅山形屋店,東京都葛飾区小菅2-22-10
ポプラ綾瀬駅前店,東京都葛飾区小菅4-12-3
シマムラ,東京都葛飾区新宿2-6-9
ファミリーマート葛飾新宿三丁目店,東京都葛飾区新宿3-17
セブンイレブン葛飾内野店,東京都葛飾区新宿5-22-15
（株）明治屋商店,東京都葛飾区新小岩1-27-2
エーエムピーエム新小岩駅前店,東京都葛飾区新小岩1-29-8
ファミリーマート新小岩駅南口店,東京都葛飾区新小岩1-48-8
ローソン新小岩平和橋通店,東京都葛飾区新小岩1-49-10
サンクス新小岩2丁目店,東京都葛飾区新小岩2-10-4
ローソン新小岩駅前店,東京都葛飾区新小岩2-2-26
セブンイレブン南新小岩店,東京都葛飾区新小岩3-7-3
セブンイレブン新小岩4丁目店,東京都葛飾区新小岩4－25－1
セブンイレブン葛飾西水元店,東京都葛飾区水元2-7-7
デイリーヤマザキ水元店,東京都葛飾区水元3―10
セブンイレブン葛飾水元3丁目店,東京都葛飾区水元3ー17ー10
ローソン水元４丁目店,東京都葛飾区水元4-25-12
ひらのコンビニエンスストア,東京都葛飾区水元5-12-19
ファミリーマート西亀有二丁目店,東京都葛飾区西亀有2-43-12
エーエムピーエム葛飾西亀有2丁目店,東京都葛飾区西亀有2－9－7
サンシャイン,東京都葛飾区西新小岩1-2-7
ローソン西新小岩?丁目店,東京都葛飾区西新小岩1-3-4
セブンイレブン西新小岩店,東京都葛飾区西新小岩4-38-19
ミニストップ西新小岩４丁目店,東京都葛飾区西新小岩4-39-21
セブンイレブン葛飾西新小岩5丁目店,東京都葛飾区西新小岩5－17－26
サンクス西新小岩店,東京都葛飾区西新小岩5丁目23-3
ミニストップ西水元２丁目店,東京都葛飾区西水元2-21-16
スリーエイト西水元店,東京都葛飾区西水元3-27-3
ファミリーマート西水元五丁目店,東京都葛飾区西水元5丁目1-12
セブンイレブン葛飾青戸3丁目店,東京都葛飾区青戸3－34－7
デイリーヤマザキ青砥駅前店,東京都葛飾区青戸3-35-1
ローソン青砥駅北口店,東京都葛飾区青戸3-38-1
セブンイレブン葛飾青戸4丁目店,東京都葛飾区青戸4－27
ファミリーマート青戸四丁目店,東京都葛飾区青戸4丁目7-17
セブンイレブン葛飾青戸5丁目店,東京都葛飾区青戸5－3－4
（資）碓井商店,東京都葛飾区青戸6-4-22
サンクス青戸環七店,東京都葛飾区青戸7-19-14
ローソン青戸八丁目店,東京都葛飾区青戸8-3-8
ミニストップ金町駅北口店,東京都葛飾区東金町1-37-2
セブンイレブン葛飾東金町2丁目店,東京都葛飾区東金町2ー4ー14
セブンイレブン東金町店,東京都葛飾区東金町3-17-11
セブンイレブン葛飾東金町5丁目店,東京都葛飾区東金町5－37－14
サンクス葛飾橋店,東京都葛飾区東金町5丁目37-1
セブンイレブン東四つ木1丁目店,東京都葛飾区東四つ木1－21－6
ショップ＆ライフさとう,東京都葛飾区東四つ木2-11-23
デーリーヤマザキ東四ツ木店,東京都葛飾区東四ツ木4-22-15
ミニストップ東四つ木店,東京都葛飾区東四つ木4-47-6
サンクス葛飾たつみ橋店,東京都葛飾区東新小岩1丁目4-5
サンクス東新小岩店,東京都葛飾区東新小岩3ー13ー4
エーエムピーエム東新小岩4丁目店,東京都葛飾区東新小岩4－1－20
セブンイレブン葛飾東新小岩7丁目店,東京都葛飾区東新小岩7－32
セブンイレブン平和橋通り東新小岩店,東京都葛飾区東新小岩7丁目7－8
ヤマザキショップマメウダ店,東京都葛飾区東水元1-6-2
セブンイレブン葛飾東堀切1丁目店,東京都葛飾区東堀切1－18－6
コミュニティ・ストア東堀切エガワ店,東京都葛飾区東堀切1-20-16
セブンイレブン東堀切3丁目店,東京都葛飾区東堀切3－13－3
セブンイレブン葛飾東立石1丁目店,東京都葛飾区東立石1－3－6
ゼットワン立石キクヤ,東京都葛飾区東立石4-16-11
セブンイレブン葛飾東立石4丁目店,東京都葛飾区東立石4－55－4
セブンイレブンにいじゅく店,東京都葛飾区南水元1-30-13
サンクス葛飾水元店,東京都葛飾区南水元2丁目21-11
ローソン水元中央通店,東京都葛飾区南水元4-11-20
ミニストップ南水元４丁目店,東京都葛飾区南水元4-26-29
ローソン南水元四丁目店,東京都葛飾区南水元4-27-7
セブンイレブン白鳥1丁目駅前通り店,東京都葛飾区白鳥1－4－2
セブンイレブン葛飾白鳥店,東京都葛飾区白鳥2-3-3
ファミリーマート伊勢元白鳥店,東京都葛飾区白鳥3-6-12
セブンイレブン葛飾宝町1丁目店,東京都葛飾区宝町1丁目1－8
ローソンお花茶屋店,東京都葛飾区宝町2-34-13
スリーエイト堀切店,東京都葛飾区堀切2-22-19
ローソン堀切店,東京都葛飾区堀切2-65-17
ミニストップ堀切菖蒲園店,東京都葛飾区堀切3-6-1
セブンイレブン葛飾堀切4丁目店,東京都葛飾区堀切4ー7
ＫＣＳしのはら,東京都葛飾区堀切5-7-1
ファミリーマート堀切六丁目店,東京都葛飾区堀切6-11-20
スリーエフ葛飾堀切7丁目店,東京都葛飾区堀切7-22-28
セブンイレブン堀切7丁目店,東京都葛飾区堀切7－32－5
ミニストップ堀切８丁目店,東京都葛飾区堀切8-23-25
サンクス立石3丁目店,東京都葛飾区立石3-1-2
セブンイレブン葛飾立石3丁目店,東京都葛飾区立石3－5－6
セブンイレブン葛飾立石4丁目店,東京都葛飾区立石4ー33ー7
ミニストップ立石５丁目店,東京都葛飾区立石5-11-22
ファミリーマート立石五丁目店,東京都葛飾区立石5-18-1
セブンイレブン葛飾立石5丁目店,東京都葛飾区立石5丁目4－7
エーエムピーエム葛飾立石6丁目店,東京都葛飾区立石6－34－15
ローソン立石八丁目店,東京都葛飾区立石8-43-8
ファミリーマート一之江三丁目店,東京都江戸川区一之江3-1-17
（有）岩楯商店,東京都江戸川区一之江6-20-6
セブンイレブン江戸川一之江7丁目店,東京都江戸川区一之江7－13－28
セブンイレブン一之江駅環七通り店,東京都江戸川区一之江7－34－10
ファミリーマート春江町四丁目店,東京都江戸川区一之江7-65-20
ファミリーマート一之江七丁目店,東京都江戸川区一之江7-81-2 -101
ローソン一之江駅前店,東京都江戸川区一之江8-17-12
セブンイレブン江戸川興宮町店,東京都江戸川区興宮町5ー6
ファミリーマート須賀江戸川二丁目店,東京都江戸川区江戸川2-6-2
みぞぐち,東京都江戸川区江戸川3-41-12
セブンイレブン江戸川5丁目店,東京都江戸川区江戸川5ー25ー1
スリーエフ江戸川三角店,東京都江戸川区江戸川6-20-2
ミニストップ鹿骨１丁目店,東京都江戸川区鹿骨1-43-4
セブンイレブン江戸川鹿骨1丁目店,東京都江戸川区鹿骨1－53－13
スリーエフ篠崎公園前店,東京都江戸川区鹿骨2-42-12
セブンイレブン江戸川鹿骨4丁目店,東京都江戸川区鹿骨4－6－6
ファミリーマート鹿骨五丁目店,東京都江戸川区鹿骨5-39-4
ミニストップ篠崎１丁目店,東京都江戸川区篠崎町1-333
モンマートあわじや,東京都江戸川区篠崎町1-404-8
ローソン篠崎町二丁目店,東京都江戸川区篠崎町2-188-1
ファミリーマート篠崎駅南口店,東京都江戸川区篠崎町2-406-1
セブンイレブン江戸川篠崎町2丁目店,東京都江戸川区篠崎町2丁目38
ファミリーマート篠崎三丁目店,東京都江戸川区篠崎町3-25-1
サンクス江戸川篠崎店,東京都江戸川区篠崎町4-13-16 パレロワイヤル篠崎
コミュニティ・ストア篠崎町はんだ店,東京都江戸川区篠崎町5-10-6
セブンイレブン江戸川篠崎5丁目店,東京都江戸川区篠崎町5丁目11－22
長谷川商店,東京都江戸川区篠崎町6-8-8
セブンイレブン谷河内店,東京都江戸川区篠崎町7－12－21
森田屋酒店,東京都江戸川区篠崎町7-18-1
ファミリーマート篠崎町七丁目店,東京都江戸川区篠崎町7-23-11 サンライズ大貫
サンクス篠崎駅前店,東京都江戸川区篠崎町7-29-11 メナーしのざき
スリーエフ篠崎駅前店,東京都江戸川区篠崎町7-29-2
ファミリーマート春江三丁目店,東京都江戸川区春江町3-20-11
セブンイレブン江戸川春江町3丁目店,東京都江戸川区春江町3－38－11
セブンイレブン江戸川春江町5丁目店,東京都江戸川区春江町5ー15ー11
エーエムピーエム東大島駅前店,東京都江戸川区小松川1－4－1
ローソン松江店,東京都江戸川区松江1-7-8
坂上商店,東京都江戸川区松江2-17-12
セブンイレブン同潤会松江店,東京都江戸川区松江2-32-4
おれんじ,東京都江戸川区松江2-4-2
ローソン松江３丁目店,東京都江戸川区松江3-5-1
セブンイレブン江戸川松江南店,東京都江戸川区松江4-1-1
セブンイレブン江戸川松江6丁目店,東京都江戸川区松江6－3－2
ファミリーマート江戸川松島店,東京都江戸川区松島1-43-12
セブンイレブン江戸川松島3丁目店,東京都江戸川区松島3－33－1
セブンイレブン江戸川松島北店,東京都江戸川区松島3-39-8
セブンイレブン松島店,東京都江戸川区松島4-43-15
セブンイレブン江戸川菅原橋店,東京都江戸川区松本1-34-1
セブンイレブン江戸川上一色店,東京都江戸川区上一色1-4-16
ローソン上篠崎四丁目店,東京都江戸川区上篠崎4-27-5
ローソン新堀店,東京都江戸川区新堀1-39-8
ファミリーマート瑞江一丁目店,東京都江戸川区瑞江1-4-11
ミニストップ瑞江２丁目店,東京都江戸川区瑞江2-22-5
サンクス瑞江駅前店,東京都江戸川区瑞江2-5-21 サイトウビル
ファミリーマート上平西瑞江二丁目店,東京都江戸川区瑞江2-6-9
デイリーヤマザキ江戸川瑞江3丁目店,東京都江戸川区瑞江3-36-8
セブンイレブン江戸川西一之江2丁目店,東京都江戸川区西一之江2ー26ー10
ＴＣＳたざわ,東京都江戸川区西一之江2-26-11
セブンイレブン江戸川西一之江3丁目店,東京都江戸川区西一之江3－3－3
サンクス西一之江店,東京都江戸川区西一之江4丁目8-19
サンクス西葛西2丁目店,東京都江戸川区西葛西2-21-8
セブンイレブン西葛西3丁目店,東京都江戸川区西葛西3ー15ー7
ローソン西葛西店,東京都江戸川区西葛西3-3-3
ヤムチャコンビニ４＆５西葛西店,東京都江戸川区西葛西5-11-12
エーエムピーエム西葛西5丁目店,東京都江戸川区西葛西5－2－2
サンクス西葛西北口店,東京都江戸川区西葛西5-2-9
ローソン西葛西五丁目店,東京都江戸川区西葛西5-7-8
サンクス西葛西5丁目店,東京都江戸川区西葛西5丁目1-5
ポプラ西葛西駅前店,東京都江戸川区西葛西6-13-12
ファミリーマート西葛西駅前店,東京都江戸川区西葛西6-15-12
サンクス西葛西店,東京都江戸川区西葛西6-22-4 アサヒハイツ西葛西
ポプラ葛西中央通り店,東京都江戸川区西葛西6-23-12
サンクス江戸川球場店,東京都江戸川区西葛西6ー19ー23
ファミリーマート西葛西メトロ店,東京都江戸川区西葛西6-7-1
ファミリーマート西葛西六丁目店,東京都江戸川区西葛西6-9-1
セブンイレブン江戸川西葛西7丁目店,東京都江戸川区西葛西7－15－15
ローソン江戸川球場前店,東京都江戸川区西葛西7-3-5
セブンイレブン江戸川鹿骨店,東京都江戸川区西篠崎1-2-4
コミュニティ・ストア西小岩ぬまの店,東京都江戸川区西小岩1-13-18
セブンイレブン小岩駅西口店,東京都江戸川区西小岩1－13－18
ミニストップ西小岩店,東京都江戸川区西小岩1-19-29
ローソンストア１００江戸川西小岩１丁目店,東京都江戸川区西小岩1-20-16
セブンイレブン江戸川西小岩1丁目店,東京都江戸川区西小岩1－21－14
ミニストップ西小岩１丁目店,東京都江戸川区西小岩1-30-22
ファミリーマート小岩駅東店,東京都江戸川区西小岩1丁目27-29 東京グランファースト1階
デイリーヤマザキ西小岩3丁目店,東京都江戸川区西小岩3-31-16
セブンイレブン西小岩3丁目店,東京都江戸川区西小岩3－6－14
サンクス西小岩3丁目店,東京都江戸川区西小岩3丁目37-5
ファミリーマート小岩北口店,東京都江戸川区西小岩4-1-20
ファミリーマート京成小岩駅西店,東京都江戸川区西小岩5-17
スリーエフ西瑞江2丁目店,東京都江戸川区西瑞江2-14-10
ポプラ西瑞江３丁目店,東京都江戸川区西瑞江3-24-16
セブンイレブン江戸川西瑞江今井店,東京都江戸川区西瑞江3-32-12
ローソン西瑞江三丁目店,東京都江戸川区西瑞江3-5-2
セブンイレブン瑞江店,東京都江戸川区西瑞江5-10-4
ローソン西瑞江五丁目店,東京都江戸川区西瑞江5-7-1
サンクス船堀1丁目店,東京都江戸川区船堀1-1-38
セブンイレブン東小松川店,東京都江戸川区船堀1-4-13
ファミリーマート船堀一丁目店,東京都江戸川区船堀1-8-15
セブンイレブン江戸川船堀2丁目店,東京都江戸川区船堀2丁目22－16
ファミリーマート船堀三丁目店,東京都江戸川区船堀3-2-23
ファミリーマート船堀駅前店,東京都江戸川区船堀3-5-7
ポプラ船堀店,東京都江戸川区船堀3-6-1
エーエムピーエム船堀3丁目店,東京都江戸川区船堀3－9－11
セブンイレブン江戸川船堀4丁目店,東京都江戸川区船堀4－2－2
サンクス船堀店,東京都江戸川区船堀4ー3-6
サークルＫ江戸川船堀店,東京都江戸川区船堀7丁目6番20号
セブンイレブン江戸川大杉店,東京都江戸川区大杉4-1-4
ファミリーマート大杉五丁目店,東京都江戸川区大杉5-37
ローソン谷河内町二丁目店,東京都江戸川区谷河内2-15-10
セブンイレブン江戸川中央1丁目店,東京都江戸川区中央1－1－20
スリーエフ江戸川区役所前店,東京都江戸川区中央1-12-7
ローソン江戸川中央店,東京都江戸川区中央2-18-19
サンクス江戸川中央店,東京都江戸川区中央2-28-1
ミニストップ江戸川千葉街道店,東京都江戸川区中央3-2
ミニストップ江戸川中央３丁目店,東京都江戸川区中央3-22-7
スリーエフ江戸川中央店,東京都江戸川区中央4-2-13
セブンイレブン江戸川中央店,東京都江戸川区中央4-25-21
セブンイレブン江戸川中葛西1丁目店,東京都江戸川区中葛西1ー12ー16
エーエムピーエム中葛西1丁目店,東京都江戸川区中葛西1－1－7
セブンイレブン葛西三角通り店,東京都江戸川区中葛西1-49-16
スリーエイト宇喜田店,東京都江戸川区中葛西1-8-6
エーエムピーエム中葛西3丁目店,東京都江戸川区中葛西3－1－15
セブンイレブン江戸川中葛西3丁目店,東京都江戸川区中葛西3－29－6
ファミリーマート葛西駅前店,東京都江戸川区中葛西3-34-8
ローソン中葛西店,東京都江戸川区中葛西3-36
ファミリーマート葛西駅北店,東京都江戸川区中葛西3-36-9 第2彦本ビル1Ｆ
ジャストスポット中葛西店,東京都江戸川区中葛西3-4-16
ローソンストア１００中葛西４丁目店,東京都江戸川区中葛西4-3-1
ミニストップ葛西駅前店,東京都江戸川区中葛西5-34-1
セブンイレブン中葛西5丁目店,東京都江戸川区中葛西5－8－15
ファミリーマート中葛西六丁目店,東京都江戸川区中葛西6-1-10
デーリーヤマザキ長谷川店,東京都江戸川区中葛西6-13-1
サンクス中葛西店,東京都江戸川区中葛西6-21-10
スリーエイト葛西店,東京都江戸川区中葛西7-3-8
エーエムピーエム中葛西8丁目店,東京都江戸川区中葛西8－13－17
セブンイレブン江戸川中葛西8丁目店,東京都江戸川区中葛西8－3－1
サンクス葛西左近川親水公園店,東京都江戸川区中葛西8丁目1-1
セブンイレブン江戸川東葛西1丁目店,東京都江戸川区東葛西1－2－4
セブンイレブン江戸川東葛西2丁目店,東京都江戸川区東葛西2－14－14
サンクス葛西新川店,東京都江戸川区東葛西2丁目5-3
サンクス葛西さくら公園店,東京都江戸川区東葛西4-12-19 アサヒハイツ東葛西
ミニストップ　東葛西５丁目店,東京都江戸川区東葛西5-13-13
ホットスパー東葛西店,東京都江戸川区東葛西5-37-16
セブンイレブン江戸川東葛西5丁目店,東京都江戸川区東葛西5－45－6
ミニストップ葛西店,東京都江戸川区東葛西6-14-3
セブンイレブン葛西駅前店,東京都江戸川区東葛西6-2-1
セブンイレブン東葛西6丁目店,東京都江戸川区東葛西6－23－1
モリサキ商店,東京都江戸川区東葛西7-6-12
ファミリーマート東葛西七丁目店,東京都江戸川区東葛西7-9-10
サンクス葛西環七通り店,東京都江戸川区東葛西7丁目2-5
サンクス東葛西9丁目店,東京都江戸川区東葛西9丁目6-8
セブンイレブン東小岩店,東京都江戸川区東小岩1-5-3
スリーエフ小岩店,東京都江戸川区東小岩3-6-11
セブンイレブン東小岩5丁目店,東京都江戸川区東小岩5ー20ー4
セブンイレブン東小松川2丁目店,東京都江戸川区東小松川2ー33ー12
セブンイレブン江戸川東松本店,東京都江戸川区東松本1-11-12
セブンイレブン江戸川東瑞江1丁目店,東京都江戸川区東瑞江1－38－1
セブンイレブン南葛西1丁目店,東京都江戸川区南葛西1ー13ー9
セブンイレブン江戸川南葛西2丁目店,東京都江戸川区南葛西2丁目25－12
サンクス南葛西3丁目店,東京都江戸川区南葛西3-15-15
セブンイレブン南葛西4丁目店,東京都江戸川区南葛西4－11
サンクス南葛西4丁目店,東京都江戸川区南葛西4-13-13
ファミリーマート南葛西なぎさ店,東京都江戸川区南葛西6-15-20 エスティーム・ＭＳ
デイリーヤマザキ江戸川南葛西6丁目店,東京都江戸川区南葛西6-2-1
セブンイレブン江戸川南葛西6丁目店,東京都江戸川区南葛西6ー20ー6
セブンイレブン篠崎店,東京都江戸川区南篠崎町1-26-21
デイリーヤマザキ南篠崎2丁目店,東京都江戸川区南篠崎町2-37-11
セブンイレブン江戸川南篠崎2丁目店,東京都江戸川区南篠崎町2－38－16
エーエムピーエム江戸川南篠崎4丁目店,東京都江戸川区南篠崎町4－5－11
セブンイレブン南篠崎店,東京都江戸川区南篠崎町5-9-12
セブンイレブン江戸川二枚橋店,東京都江戸川区南小岩4-9-7
セブンイレブン南小岩5丁目店,東京都江戸川区南小岩5－20－14
エーエムピーエム南小岩二枚橋店,東京都江戸川区南小岩5-2-6
サンクス南小岩店,東京都江戸川区南小岩6-28-12
エーエムピーエム江戸川南小岩6丁目店,東京都江戸川区南小岩6－30－8
（有）広瀬屋,東京都江戸川区南小岩7-7-2
セブンイレブン南小岩7丁目店,東京都江戸川区南小岩7ー20ー9
ファミリーマート小岩駅西口店,東京都江戸川区南小岩7丁目24-15
セブンイレブン南小岩店,東京都江戸川区南小岩8-1-13
ファミリーマート南小岩八丁目店,東京都江戸川区南小岩8-14-5 ソシアルビル
サークルＫ南小岩七丁目店,東京都江戸川区南小岩七丁目27番14号
ファミリーマート南小岩七丁目店,東京都江戸川区南小岩七丁目31番11 橋本ビル1Ｆ
ミニストップ平井南店,東京都江戸川区平井1-10-18
セブンイレブン平井2丁目店,東京都江戸川区平井2－22－12
ローソンストア１００江戸川平井３丁目店,東京都江戸川区平井3-12-5
エーエムピーエム平井駅南口店,東京都江戸川区平井3-23-18
スリーエフ平井店,東京都江戸川区平井3-24-24
ファミリーマート平井駅南口店,東京都江戸川区平井4-11-6
ローソン平井駅前店,東京都江戸川区平井5-23-5
サンクス平井5丁目店,東京都江戸川区平井5-32
セブンイレブン平井6丁目店,東京都江戸川区平井6－23－21
ローソン平井六丁目店,東京都江戸川区平井6-40-10
デイリーヤマザキ平井西店,東京都江戸川区平井6-76-6
リカー＆コンビニエンス小西,東京都江戸川区平井7-17-23
（有）六軒町酒店,東京都江戸川区北葛西1-3-11
ファミリーマート北葛西二丁目店,東京都江戸川区北葛西2-11-18
セブンイレブン江戸川北葛西2丁目店,東京都江戸川区北葛西2－22－15
サンクス北葛西店,東京都江戸川区北葛西3-5-12
ローソン北葛西４丁目店,東京都江戸川区北葛西4-20-5
セブンイレブン中小岩店,東京都江戸川区北小岩2-22-14
ローソン京成小岩南口店,東京都江戸川区北小岩2-6-11
セブンイレブン江戸川店,東京都江戸川区北小岩4-39-7
ミニストップ京成小岩駅前店,東京都江戸川区北小岩6-18-3
セブンイレブン北小岩6丁目店,東京都江戸川区北小岩6ー16ー14
セブンイレブン北小岩7丁目店,東京都江戸川区北小岩7ー13ー10
セブンイレブン北小岩店,東京都江戸川区北小岩8-2-9
ミニストップ本一色１丁目店,東京都江戸川区本一色1-5-26
セブンイレブン江戸川臨海町2丁目店,東京都江戸川区臨海町2－1－4
サンクス葛西ワールド店,東京都江戸川区臨海町2-3-8
サンクス葛西ターミナル店,東京都江戸川区臨海町4-2-1
ファミリーマート葛西ターミナル前店,東京都江戸川区臨海町5-2-2
湊屋酒店,東京都江東区永代2-23-1
